date,state,active_cases
2020-06-26,Maharashtra,63357
2020-06-26,Delhi,26586
2020-06-26,Tamil Nadu,30067
2020-06-26,Gujarat,6318
2020-06-26,Uttar Pradesh,6463
2020-06-26,Rajasthan,3072
2020-06-26,West Bengal,4852
2020-06-26,Madhya Pradesh,2434
2020-06-26,Haryana,4972
2020-06-26,Andhra Pradesh,6147
2020-06-26,Telangana,6446
2020-06-26,Karnataka,3718
2020-06-26,Bihar,2075
2020-06-26,Unknown*,0
2020-06-26,Assam,2604
2020-06-26,Jammu and Kashmir,2492
2020-06-26,Odisha,1734
2020-06-26,Punjab,1457
2020-06-26,Kerala,1763
2020-06-26,Uttarakhand,897
2020-06-26,Chhattisgarh,715
2020-06-26,Jharkhand,644
2020-06-26,Tripura,268
2020-06-26,Manipur,702
2020-06-26,Goa,658
2020-06-26,Ladakh,573
2020-06-26,Himachal Pradesh,348
2020-06-26,Puducherry,306
2020-06-26,Chandigarh,83
2020-06-26,Nagaland,209
2020-06-26,Arunachal Pradesh,129
2020-06-26,Mizoram,117
2020-06-26,Dadra and Nagar Haveli,107
2020-06-26,Sikkim,46
2020-06-26,Andaman and Nicobar Islands,17
2020-06-26,Meghalaya,3
2020-06-26,Lakshadweep,0
2020-06-26,Daman and Diu,0
